Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,126,1512,USD,"Hosted Zones (2), Basic Checks Within AWS (300), Number of Elastic Network Interfaces ()"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,0,0,USD,
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon EC2,0,1217.28,14607.36,USD,"Operating system (Linux), Quantity (16), Pricing strategy (On-Demand Instances), Storage amount (60 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,3582,13.8,3747.6,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (60 GB), Quantity (1), Instance type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr All Upfront)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,954.45,11453.4,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (50 TB per month), DT Outbound: Not selected (50 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1476.43,17717.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,1111.43,13337.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (250 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,0,0,USD,
,,,,,,,,
Total,,,,,5134.91,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Changes,,,,,,,,
RDS pricing change from OnDemand to 1-year prepaid upfront,,,,,,,,
Application Load Balancer - Reduce number of processed GB per hours to 250 (EC2 Instances & IP addresses),,,,,,,,
Network Load Balancer - Reduce processed bytes per NLB for TCP to 250gb/hours,,,,,,,,
